carga,instante
14369.9814,2026-02-10T05:31:00-03:00
14412.0674,2026-02-10T05:32:00-03:00
14432.5918,2026-02-10T05:33:00-03:00
14452.5059,2026-02-10T05:34:00-03:00
14486.9531,2026-02-10T05:35:00-03:00
14532.5254,2026-02-10T05:36:00-03:00
14549.1348,2026-02-10T05:37:00-03:00
14568.9492,2026-02-10T05:38:00-03:00
14571.2354,2026-02-10T05:39:00-03:00
14584.126,2026-02-10T05:40:00-03:00
14591.9512,2026-02-10T05:41:00-03:00
14600.06,2026-02-10T05:42:00-03:00
14616.4082,2026-02-10T05:43:00-03:00
14621.9307,2026-02-10T05:44:00-03:00
14636.7559,2026-02-10T05:45:00-03:00
14635.8594,2026-02-10T05:46:00-03:00
14654.1641,2026-02-10T05:47:00-03:00
14643.5918,2026-02-10T05:48:00-03:00
14659.0186,2026-02-10T05:49:00-03:00
14661.915,2026-02-10T05:50:00-03:00
14649.9561,2026-02-10T05:51:00-03:00
14632.8359,2026-02-10T05:52:00-03:00
14634.373,2026-02-10T05:53:00-03:00
14626.4209,2026-02-10T05:54:00-03:00
14643.0586,2026-02-10T05:55:00-03:00
14647.4014,2026-02-10T05:56:00-03:00
14639.9932,2026-02-10T05:57:00-03:00
14632.3613,2026-02-10T05:58:00-03:00
14595.9219,2026-02-10T05:59:00-03:00
14597.373,2026-02-10T06:00:00-03:00
14600.3994,2026-02-10T06:01:00-03:00
14615.9736,2026-02-10T06:02:00-03:00
14691.8613,2026-02-10T06:03:00-03:00
14748.4512,2026-02-10T06:04:00-03:00
14790.4258,2026-02-10T06:05:00-03:00
14836.8408,2026-02-10T06:06:00-03:00
14874.4912,2026-02-10T06:07:00-03:00
14939.0137,2026-02-10T06:08:00-03:00
14995.4932,2026-02-10T06:09:00-03:00
15058.8008,2026-02-10T06:10:00-03:00
15065.8633,2026-02-10T06:11:00-03:00
15111.1465,2026-02-10T06:12:00-03:00
15177.6279,2026-02-10T06:13:00-03:00
15172.4092,2026-02-10T06:14:00-03:00
15175.8984,2026-02-10T06:15:00-03:00
15163.6631,2026-02-10T06:16:00-03:00
15167.5586,2026-02-10T06:17:00-03:00
15197.8564,2026-02-10T06:18:00-03:00
15211.64,2026-02-10T06:19:00-03:00
15305.6055,2026-02-10T06:20:00-03:00
15362.3857,2026-02-10T06:21:00-03:00
15300.1309,2026-02-10T06:22:00-03:00
15319.4941,2026-02-10T06:23:00-03:00
15329.3223,2026-02-10T06:24:00-03:00
15321.68,2026-02-10T06:25:00-03:00
15246.1777,2026-02-10T06:26:00-03:00
15252.5029,2026-02-10T06:27:00-03:00
15279.3037,2026-02-10T06:28:00-03:00
15295.6514,2026-02-10T06:29:00-03:00
15301.9121,2026-02-10T06:30:00-03:00
15322.7129,2026-02-10T06:31:00-03:00
15389.9434,2026-02-10T06:32:00-03:00
15435.5215,2026-02-10T06:33:00-03:00
15459.3457,2026-02-10T06:34:00-03:00
15507.0537,2026-02-10T06:35:00-03:00
15523.2793,2026-02-10T06:36:00-03:00
15542.9,2026-02-10T06:37:00-03:00
15556.4707,2026-02-10T06:38:00-03:00
15574.8994,2026-02-10T06:39:00-03:00
15605.4043,2026-02-10T06:40:00-03:00
15608.9063,2026-02-10T06:41:00-03:00
15619.6475,2026-02-10T06:42:00-03:00
15634.9189,2026-02-10T06:43:00-03:00
15672.0625,2026-02-10T06:44:00-03:00
15681.4639,2026-02-10T06:45:00-03:00
15704.9658,2026-02-10T06:46:00-03:00
15732.8789,2026-02-10T06:47:00-03:00
15748.0889,2026-02-10T06:48:00-03:00
15771.9033,2026-02-10T06:49:00-03:00
15775.2109,2026-02-10T06:50:00-03:00
15781.7139,2026-02-10T06:51:00-03:00
15762.3086,2026-02-10T06:52:00-03:00
15825.2178,2026-02-10T06:53:00-03:00
15850.89,2026-02-10T06:54:00-03:00
15875.14,2026-02-10T06:55:00-03:00
15867.0391,2026-02-10T06:56:00-03:00
15888.4707,2026-02-10T06:57:00-03:00
15963.7627,2026-02-10T06:58:00-03:00
16017.4775,2026-02-10T06:59:00-03:00
16048.1436,2026-02-10T07:00:00-03:00
16143.7959,2026-02-10T07:01:00-03:00
16162.15,2026-02-10T07:02:00-03:00
16198.6553,2026-02-10T07:03:00-03:00
16245.6084,2026-02-10T07:04:00-03:00
16302.2373,2026-02-10T07:05:00-03:00
16371.8174,2026-02-10T07:06:00-03:00
16385.87,2026-02-10T07:07:00-03:00
16445.6934,2026-02-10T07:08:00-03:00
16468.0547,2026-02-10T07:09:00-03:00
16506.0273,2026-02-10T07:10:00-03:00
16559.6855,2026-02-10T07:11:00-03:00
16623.5176,2026-02-10T07:12:00-03:00
16682.42,2026-02-10T07:13:00-03:00
16737.94,2026-02-10T07:14:00-03:00
16756.9219,2026-02-10T07:15:00-03:00
16745.5527,2026-02-10T07:16:00-03:00
16736.6016,2026-02-10T07:17:00-03:00
16775.3672,2026-02-10T07:18:00-03:00
16819.7188,2026-02-10T07:19:00-03:00
16849.35,2026-02-10T07:20:00-03:00
16866.6582,2026-02-10T07:21:00-03:00
16907.3184,2026-02-10T07:22:00-03:00
16973.5586,2026-02-10T07:23:00-03:00
16996.457,2026-02-10T07:24:00-03:00
16970.7188,2026-02-10T07:25:00-03:00
16975.82,2026-02-10T07:26:00-03:00
16987.6113,2026-02-10T07:27:00-03:00
17019.24,2026-02-10T07:28:00-03:00
16952.1934,2026-02-10T07:29:00-03:00
16914.2051,2026-02-10T07:30:00-03:00
16966.27,2026-02-10T07:31:00-03:00
17013.3945,2026-02-10T07:32:00-03:00
17067.8086,2026-02-10T07:33:00-03:00
17084.791,2026-02-10T07:34:00-03:00
17135.4316,2026-02-10T07:35:00-03:00
17138.25,2026-02-10T07:36:00-03:00
17192.78,2026-02-10T07:37:00-03:00
17196.71,2026-02-10T07:38:00-03:00
17247.9941,2026-02-10T07:39:00-03:00
17271.2344,2026-02-10T07:40:00-03:00
17302.7969,2026-02-10T07:41:00-03:00
17326.002,2026-02-10T07:42:00-03:00
17341.293,2026-02-10T07:43:00-03:00
17361.0957,2026-02-10T07:44:00-03:00
17374.8027,2026-02-10T07:45:00-03:00
17411.2285,2026-02-10T07:46:00-03:00
17417.67,2026-02-10T07:47:00-03:00
17430.5215,2026-02-10T07:48:00-03:00
17465.2227,2026-02-10T07:49:00-03:00
17464.9316,2026-02-10T07:50:00-03:00
17450.752,2026-02-10T07:51:00-03:00
17489.2441,2026-02-10T07:52:00-03:00
17484.3672,2026-02-10T07:53:00-03:00
17474.4531,2026-02-10T07:54:00-03:00
17487.666,2026-02-10T07:55:00-03:00
17505.0566,2026-02-10T07:56:00-03:00
17517.8789,2026-02-10T07:57:00-03:00
17524.1582,2026-02-10T07:58:00-03:00
17527.3652,2026-02-10T07:59:00-03:00
17505.6934,2026-02-10T08:00:00-03:00
17558.04,2026-02-10T08:01:00-03:00
17585.7578,2026-02-10T08:02:00-03:00
17621.23,2026-02-10T08:03:00-03:00
17653.41,2026-02-10T08:04:00-03:00
17702.0,2026-02-10T08:05:00-03:00
17716.6914,2026-02-10T08:06:00-03:00
17743.332,2026-02-10T08:07:00-03:00
17782.377,2026-02-10T08:08:00-03:00
17793.4453,2026-02-10T08:09:00-03:00
17786.02,2026-02-10T08:10:00-03:00
17772.74,2026-02-10T08:11:00-03:00
17777.37,2026-02-10T08:12:00-03:00
17813.7148,2026-02-10T08:13:00-03:00
17867.49,2026-02-10T08:14:00-03:00
17835.8887,2026-02-10T08:15:00-03:00
17853.39,2026-02-10T08:16:00-03:00
17855.9258,2026-02-10T08:17:00-03:00
17885.45,2026-02-10T08:18:00-03:00
17900.7969,2026-02-10T08:19:00-03:00
17934.6563,2026-02-10T08:20:00-03:00
17950.4766,2026-02-10T08:21:00-03:00
17948.3633,2026-02-10T08:22:00-03:00
17983.8,2026-02-10T08:23:00-03:00
17999.5586,2026-02-10T08:24:00-03:00
18006.3379,2026-02-10T08:25:00-03:00
18025.1582,2026-02-10T08:26:00-03:00
18042.1289,2026-02-10T08:27:00-03:00
18034.0273,2026-02-10T08:28:00-03:00
18030.4219,2026-02-10T08:29:00-03:00
17965.248,2026-02-10T08:30:00-03:00
18001.2168,2026-02-10T08:31:00-03:00
17962.1328,2026-02-10T08:32:00-03:00
17926.18,2026-02-10T08:33:00-03:00
17909.668,2026-02-10T08:34:00-03:00
17904.0254,2026-02-10T08:35:00-03:00
17889.4629,2026-02-10T08:36:00-03:00
17895.1,2026-02-10T08:37:00-03:00
17900.7031,2026-02-10T08:38:00-03:00
17917.7715,2026-02-10T08:39:00-03:00
17921.9668,2026-02-10T08:40:00-03:00
17963.6914,2026-02-10T08:41:00-03:00
17991.16,2026-02-10T08:42:00-03:00
17998.0488,2026-02-10T08:43:00-03:00
18002.6836,2026-02-10T08:44:00-03:00
18011.2344,2026-02-10T08:45:00-03:00
18026.1543,2026-02-10T08:46:00-03:00
18020.7344,2026-02-10T08:47:00-03:00
18063.5234,2026-02-10T08:48:00-03:00
18076.1934,2026-02-10T08:49:00-03:00
18066.1035,2026-02-10T08:50:00-03:00
18047.5234,2026-02-10T08:51:00-03:00
18034.3418,2026-02-10T08:52:00-03:00
18032.8965,2026-02-10T08:53:00-03:00
18009.9219,2026-02-10T08:54:00-03:00
18030.9414,2026-02-10T08:55:00-03:00
17997.334,2026-02-10T08:56:00-03:00
17998.084,2026-02-10T08:57:00-03:00
