nom_reservatorio;cod_resplanejamento;tip_reservatorio;nom_bacia;nom_ree;id_subsistema;nom_subsistema;ena_data;ena_bruta_res_mwmed;ena_bruta_res_percentualmlt;ena_armazenavel_res_mwmed;ena_armazenavel_res_percentualmlt;ena_queda_bruta;mlt_ena
IBITINGA;39;Fio dagua;TIETE;PARANA;SE;SUDESTE;2026-01-03;96.76;61.3494;96.76;61.3494;97.016;157.7196
IGARAPAVA;10;Fio dagua;GRANDE;PARANA;SE;SUDESTE;2026-01-03;102.892;33.4947;102.892;33.4947;106.601;307.1891
ILHA POMBOS;130;Fio dagua;PARAIBA DO SUL;SUDESTE;SE;SUDESTE;2026-01-03;62.065;26.6474;62.065;26.6474;62.673;232.9124
IRAPE;148;Reservatório com Usina;JEQUITINHONHA;SUDESTE;SE;SUDESTE;2026-01-03;99.159;20.6758;99.159;20.6758;98.265;479.589
ITÁ;92;Fio dagua;URUGUAI;SUL;S;SUL;2026-01-03;1904.766;296.1584;1664.605;258.8175;1888.951;643.1579
ITAIPU;66;Fio dagua;PARANA;ITAIPU;SE;SUDESTE;2026-01-03;8658.044;57.5815;8658.044;57.5815;8911.149;15036.1432
ITAPEBI;154;Fio dagua;JEQUITINHONHA;NORDESTE;NE;NORDESTE;2026-01-03;33.033;5.969;9.438;1.7054;33.444;553.41
ITAUBA;113;Fio dagua;JACUI;SUL;S;SUL;2026-01-03;427.148;324.9766;427.148;324.9766;409.569;131.4396
ITIQUIRA I;304;Fio dagua;PARAGUAI;SUDESTE;SE;SUDESTE;2026-01-03;38.579;50.7075;38.579;50.7075;38.575;76.0815
ITIQUIRA II;305;Fio dagua;PARAGUAI;SUDESTE;SE;SUDESTE;2026-01-03;61.44;50.7073;61.44;50.7073;61.604;121.1661
ITUMBIARA;31;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;2026-01-03;559.131;30.4279;559.131;30.4279;501.44;1837.5605
ITUTINGA;2;Fio dagua;GRANDE;PARANA;SE;SUDESTE;2026-01-03;18.263;30.9671;18.263;30.9671;18.725;58.9754
JACUI;112;Fio dagua;JACUI;SUL;S;SUL;2026-01-03;376.559;335.8862;18.764;16.7373;389.641;112.1091
JAGUARA;9;Fio dagua;GRANDE;PARANA;SE;SUDESTE;2026-01-03;269.888;34.789;269.888;34.789;271.378;775.7848
JAGUARI;120;Reservatório com Usina;PARAIBA DO SUL;SUDESTE;SE;SUDESTE;2026-01-03;4.058;17.8631;0.0;0.0;3.755;22.7172
JAURU;195;Fio dagua;PARAGUAI;SUDESTE;SE;SUDESTE;2026-01-03;75.064;84.1042;75.064;84.1042;74.898;89.2512
JIRAU;285;Fio dagua;AMAZONAS;MADEIRA;SE;SUDESTE;2026-01-03;4308.688;118.2239;3181.528;87.2963;3900.786;3644.515
JUPIA;45;Fio dagua;PARANA;PARANA;SE;SUDESTE;2026-01-03;655.45;35.295;655.45;35.295;673.962;1857.06
JURUENA;309;Fio dagua;AMAZONAS;TELES PIRES;SE;SUDESTE;2026-01-03;42.273;88.9883;27.428;57.7383;43.648;47.504
JURUMIRIM;47;Reservatório com Usina;PARANAPANEMA;PARANAPANEMA;SE;SUDESTE;2026-01-03;35.442;37.6295;35.442;37.6295;35.318;94.1868
L. C. BARRETO;8;Fio dagua;GRANDE;PARANA;SE;SUDESTE;2026-01-03;377.192;35.5587;377.192;35.5587;381.641;1060.7587
