DIA,HORA,MES_REFERENCIA,PERIODO_COMERCIALIZACAO,PLD_HORA,SUBMERCADO,_dataset,_id,_resource_id
9,10,202602,203,436.1,SUDESTE,pld_horario,139,3f279d6b-1069-42f7-9b0a-217b084729c4
9,10,202602,203,436.11,SUL,pld_horario,140,3f279d6b-1069-42f7-9b0a-217b084729c4
9,11,202602,204,433.71,NORDESTE,pld_horario,141,3f279d6b-1069-42f7-9b0a-217b084729c4
9,11,202602,204,433.72,NORTE,pld_horario,142,3f279d6b-1069-42f7-9b0a-217b084729c4
9,11,202602,204,433.72,SUDESTE,pld_horario,143,3f279d6b-1069-42f7-9b0a-217b084729c4
9,11,202602,204,433.73,SUL,pld_horario,144,3f279d6b-1069-42f7-9b0a-217b084729c4
9,12,202602,205,428.0,NORDESTE,pld_horario,145,3f279d6b-1069-42f7-9b0a-217b084729c4
9,12,202602,205,428.01,NORTE,pld_horario,146,3f279d6b-1069-42f7-9b0a-217b084729c4
9,12,202602,205,428.01,SUDESTE,pld_horario,147,3f279d6b-1069-42f7-9b0a-217b084729c4
9,12,202602,205,428.02,SUL,pld_horario,148,3f279d6b-1069-42f7-9b0a-217b084729c4
9,13,202602,206,434.84,NORDESTE,pld_horario,149,3f279d6b-1069-42f7-9b0a-217b084729c4
9,13,202602,206,434.84,NORTE,pld_horario,150,3f279d6b-1069-42f7-9b0a-217b084729c4
9,13,202602,206,434.85,SUDESTE,pld_horario,151,3f279d6b-1069-42f7-9b0a-217b084729c4
9,13,202602,206,434.86,SUL,pld_horario,152,3f279d6b-1069-42f7-9b0a-217b084729c4
9,14,202602,207,441.48,NORDESTE,pld_horario,153,3f279d6b-1069-42f7-9b0a-217b084729c4
9,14,202602,207,441.49,NORTE,pld_horario,154,3f279d6b-1069-42f7-9b0a-217b084729c4
9,14,202602,207,441.49,SUDESTE,pld_horario,155,3f279d6b-1069-42f7-9b0a-217b084729c4
9,14,202602,207,446.71,SUL,pld_horario,156,3f279d6b-1069-42f7-9b0a-217b084729c4
9,15,202602,208,446.71,NORDESTE,pld_horario,157,3f279d6b-1069-42f7-9b0a-217b084729c4
9,15,202602,208,446.71,NORTE,pld_horario,158,3f279d6b-1069-42f7-9b0a-217b084729c4
9,15,202602,208,446.72,SUDESTE,pld_horario,159,3f279d6b-1069-42f7-9b0a-217b084729c4
9,15,202602,208,447.8,SUL,pld_horario,160,3f279d6b-1069-42f7-9b0a-217b084729c4
9,16,202602,209,457.61,NORDESTE,pld_horario,161,3f279d6b-1069-42f7-9b0a-217b084729c4
9,16,202602,209,457.6,NORTE,pld_horario,162,3f279d6b-1069-42f7-9b0a-217b084729c4
9,16,202602,209,457.61,SUDESTE,pld_horario,163,3f279d6b-1069-42f7-9b0a-217b084729c4
9,16,202602,209,457.61,SUL,pld_horario,164,3f279d6b-1069-42f7-9b0a-217b084729c4
9,17,202602,210,462.02,NORDESTE,pld_horario,165,3f279d6b-1069-42f7-9b0a-217b084729c4
9,17,202602,210,462.01,NORTE,pld_horario,166,3f279d6b-1069-42f7-9b0a-217b084729c4
9,17,202602,210,462.02,SUDESTE,pld_horario,167,3f279d6b-1069-42f7-9b0a-217b084729c4
9,17,202602,210,462.02,SUL,pld_horario,168,3f279d6b-1069-42f7-9b0a-217b084729c4
9,18,202602,211,477.01,NORDESTE,pld_horario,169,3f279d6b-1069-42f7-9b0a-217b084729c4
9,18,202602,211,477.0,NORTE,pld_horario,170,3f279d6b-1069-42f7-9b0a-217b084729c4
9,18,202602,211,477.02,SUDESTE,pld_horario,171,3f279d6b-1069-42f7-9b0a-217b084729c4
9,18,202602,211,477.02,SUL,pld_horario,172,3f279d6b-1069-42f7-9b0a-217b084729c4
