nom_reservatorio;cod_resplanejamento;tip_reservatorio;nom_bacia;nom_ree;id_subsistema;nom_subsistema;id_subsistema_jusante;nom_subsistema_jusante;ear_data;ear_reservatorio_subsistema_proprio_mwmes;ear_reservatorio_subsistema_jusante_mwmes;earmax_reservatorio_subsistema_proprio_mwmes;earmax_reservatorio_subsistema_jusante_mwmes;ear_reservatorio_percentual;ear_total_mwmes;ear_maxima_total_mwmes;val_contribearbacia;val_contribearmaxbacia;val_contribearsubsistema;val_contribearmaxsubsistema;val_contribearsubsistemajusante;val_contribearmaxsubsistemajusante;val_contribearsin;val_contribearmaxsin
NOVA PONTE;25.0;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;;;2026-01-01;6627.696;;22766.333;;29.1118;6627.696;22766.333;0.24067918;0.29001349;0.07684376;0.11126406;0.0;0.0;0.04979451;0.07794869
PARAIBUNA;121.0;Reservatório com Usina;PARAIBA DO SUL;SUDESTE;SE;SUDESTE;;;2026-01-01;1607.253;;4561.222;;35.2373;1607.253;4561.222;0.56121462;0.60374377;0.01863504;0.02229169;0.0;0.0;0.01207544;0.01561698
PASSO FUNDO;93.0;Reservatório com Usina;URUGUAI;SUL;S;SUL;;;2026-01-01;1482.546;;1706.162;;86.8936;1482.546;1706.162;0.29270827;0.25350607;0.10066614;0.08339322;0.0;0.0;0.01113851;0.00584166
PASSO REAL;111.0;Reservatório com Usina;JACUI;SUL;S;SUL;;;2026-01-01;2091.417;;2828.801;;73.933;2091.417;2828.801;0.90564663;0.93379678;0.142009;0.13826519;0.0;0.0;0.01571302;0.00968541
PEDRA DO CAVALO;189.0;Reservatório com Usina;PARAGUACU;NORDESTE;NE;NORDESTE;;;2026-01-01;241.819;;335.383;;72.1023;241.819;335.383;1.0;1.0;0.01018327;0.0064882;0.0;0.0;0.00181681;0.0011483
PEIXE ANGICAL;257.0;Reservatório com Usina;TOCANTINS;SUDESTE;SE;SUDESTE;N;NORTE;2026-01-01;14.188;16.691;114.392;147.034;12.403;30.879;261.426;0.00115424;0.00524104;0.0001645;0.00055906;0.00199226;0.00960856;0.000232;0.00089509
PONTE NOVA;105.0;Reservatório sem usina;TIETE;PARANA;SE;SUDESTE;;;2026-01-01;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PORTO ESTRELA;135.0;Reservatório com Usina;DOCE;SUDESTE;SE;SUDESTE;;;2026-01-01;6.736;;12.899;;52.2211;6.736;12.899;1.0;1.0;7.81e-05;6.304e-05;0.0;0.0;5.061e-05;4.416e-05
PROMISSÃO;40.0;Reservatório com Usina;TIETE;PARANA;SE;SUDESTE;;;2026-01-01;1272.954;;1829.65;;69.5736;1272.954;1829.65;0.19602032;0.18813406;0.01475906;0.0089419;0.0;0.0;0.00956382;0.00626446
QUEBRA QUEIXO;95.0;Reservatório com Usina;URUGUAI;SUL;S;SUL;;;2026-01-01;4.384;;10.163;;43.1369;4.384;10.163;0.00086556;0.00151005;0.00029768;0.00049674;0.0;0.0;3.294e-05;3.48e-05
QUEIMADO;162.0;Reservatório com Usina;SAO FRANCISCO;SUDESTE;SE;SUDESTE;NE;NORDESTE;2026-01-01;73.757;129.003;283.402;484.803;26.0256;202.76;768.205;0.0084384;0.01456942;0.00085516;0.00138505;0.00543246;0.00937883;0.00152336;0.00263022
RETIRO BAIXO;155.0;Reservatório com Usina;SAO FRANCISCO;SUDESTE;SE;SUDESTE;NE;NORDESTE;2026-01-01;4.741;18.76;11.43;42.91;41.4786;23.501;54.34;0.00097806;0.00103059;5.497e-05;5.586e-05;0.00079001;0.00083012;0.00017657;0.00018605
RONDON II;276.0;Reservatório com Usina;AMAZONAS;MADEIRA;SE;SUDESTE;;;2026-01-01;25.902;;56.442;;45.8914;25.902;56.442;0.04525806;0.02782819;0.00030032;0.00027584;0.0;0.0;0.0001946;0.00019325
S.DO FACÃO;21.0;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;;;2026-01-01;2990.989;;6581.918;;45.4425;2990.989;6581.918;0.10861524;0.08384508;0.03467854;0.03216728;0.0;0.0;0.02247159;0.02253555
SALTO RS;;Reservatório sem usina;JACUI;SUL;S;SUL;;;2026-01-01;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
SALTO SANTIAGO;77.0;Reservatório com Usina;IGUACU;IGUACU;S;SUL;;;2026-01-01;2783.694;;3340.803;;83.3241;2783.694;3340.803;0.40103971;0.33199092;0.1890152;0.16329065;0.0;0.0;0.02091416;0.01143843
SAMUEL;279.0;Reservatório com Usina;AMAZONAS;MADEIRA;SE;SUDESTE;;;2026-01-01;48.976;;257.288;;19.0355;48.976;257.288;0.0855748;0.1268534;0.00056784;0.00125742;0.0;0.0;0.00036796;0.00088092
SANTA BRANCA;122.0;Reservatório com Usina;PARAIBA DO SUL;SUDESTE;SE;SUDESTE;;;2026-01-01;136.667;;454.095;;30.0966;136.667;454.095;0.04772087;0.06010605;0.00158456;0.00221926;0.0;0.0;0.00102679;0.00155476
SANTA CLARA-PR;71.0;Reservatório com Usina;IGUACU;IGUACU;S;SUL;;;2026-01-01;257.462;;373.966;;68.8464;257.462;373.966;0.03709189;0.03716272;0.01748189;0.01827859;0.0;0.0;0.00193434;0.00128041
SANTANA;181.0;Reservatório sem usina;PARAIBA DO SUL;SUDESTE;SE;SUDESTE;;;2026-01-01;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
