nom_reservatorio;tip_reservatorio;cod_resplanejamento;cod_posto;nom_usina;ceg;id_subsistema;nom_subsistema;nom_bacia;nom_rio;nom_ree;dat_entrada;val_cotamaxima;val_cotaminima;val_volmax;val_volmin;val_volutiltot;val_produtibilidadeespecifica;val_produtividade65volutil;val_tipoperda;val_perda;val_latitude;val_longitude;id_reservatorio
GUILM. AMORIM;FIO DAGUA;192;262;GUILMAN AMORIM;UHE.PH.MG.001079-0.01;SE;SUDESTE/CENTRO-OESTE;DOCE;PIRACICABA;SUDESTE;1997-11-02;495.0;492.0;12.0;12.0;2.73;0.008778;1.0066;m;3.15;-19.7075;-42.96111111;PCGAMO
HENRY BORDEN;FIO DAGUA;119;318;HENRY BORDEN EXTERNA;UHE.PH.SP.001084-7.01;SE;SUDESTE/CENTRO-OESTE;TIETE;CUBATÃO;SUDESTE;1926-04-01;728.75;728.75;1.0;1.0;1.0;0.007939;5.6808;m;10.67;-23.87444444;-46.4525;GPHBOR
HENRY BORDEN;FIO DAGUA;119;318;HENRY BORDEN SUBTERRÂNEA;UHE.PH.SP.001084-7.01;SE;SUDESTE/CENTRO-OESTE;TIETE;CUBATÃO;SUDESTE;1956-01-01;728.75;728.75;1.0;1.0;1.0;0.007939;5.6808;m;10.67;-23.87444444;-46.4525;GPHBOR
I. SOLTEIRA;RESERVATÓRIO COM USINA;34;34;ILHA SOLTEIRA;UHE.PH.SP.001120-7.01;SE;SUDESTE/CENTRO-OESTE;PARANA;PARANÁ;PARANA;1973-03-01;328.0;323.0;21060.0;15543.8;5515.5;0.00865;0.3869;m;0.54;-20.37972222;-51.35805556;PNISOL
IBITINGA;FIO DAGUA;39;239;IBITINGA;UHE.PH.SP.001097-9.01;SE;SUDESTE/CENTRO-OESTE;TIETE;TIETÊ;PARANA;1969-02-01;404.0;403.5;985.0;985.0;55.77;0.008438;0.1737;m;0.41;-21.75775;-48.99183333;TIIBIT
IGARAPAVA;FIO DAGUA;10;10;IGARAPAVA;UHE.PH.SP.001098-7.01;SE;SUDESTE/CENTRO-OESTE;GRANDE;GRANDE;PARANA;1999-01-01;512.2;511.8;480.0;480.0;14.61;0.008996;0.1523;m;0.17;-19.99027778;-47.75416667;GRIGAR
ILHA POMBOS;FIO DAGUA;130;130;ILHA DOS POMBOS;UHE.PH.RJ.001113-4.01;SE;SUDESTE/CENTRO-OESTE;PARAIBA DO SUL;PARAÍBA SUL;SUDESTE;1924-03-01;140.0;137.4;8.0;8.0;6.75;0.008484;0.2702;m;0.3;-21.84472222;-42.57916667;PBILHP
IRAPE;RESERVATÓRIO COM USINA;148;255;IRAPÉ;UHE.PH.MG.001146-0.01;SE;SUDESTE/CENTRO-OESTE;JEQUITINHONHA;JEQUITINHONHA;SUDESTE;2006-07-20;510.0;470.8;5963.92;2267.94;3699.86;0.008719;1.4533;m;2.0;-16.73583333;-42.57555556;JEIRAP
ITÁ;FIO DAGUA;92;92;ITÁ;UHE.PH.RS.001152-5.01;S;SUL;URUGUAI;URUGUAI;SUL;2000-07-01;370.0;364.0;5100.0;5100.0;797.85;0.008941;0.9097;m;1.7;-27.28222222;-52.38555556;RIITÁ
ITAIPU;FIO DAGUA;66;266;ITAIPU 60 HZ;UHE.PH.PR.001161-4.01;SE;SUDESTE/CENTRO-OESTE;PARANA;PARANÁ;ITAIPU;1987-01-01;220.3;219.0;29403.91;27695.19;19000.0;0.009037;1.0244;m;1.33;-25.40472222;-54.58833333;PNITAI
ITAIPU;FIO DAGUA;66;266;ITAIPU 50 HZ;UHE.PH.PR.001161-4.01;SE;SUDESTE/CENTRO-OESTE;PARANA;PARANÁ;ITAIPU;1984-02-01;220.3;219.0;29403.91;27695.19;19000.0;0.009037;1.0244;m;1.33;-25.40472222;-54.58833333;PNITAI
ITAPEBI;FIO DAGUA;154;188;ITAPEBI;UHE.PH.BA.001175-4.01;NE;NORDESTE;JEQUITINHONHA;JEQUITINHONHA;NORDESTE;2003-02-05;110.0;109.0;1633.56;1565.27;68.29;0.008842;0.715;m;0.88;-15.96972222;-39.59333333;JEUITP
ITAUBA;FIO DAGUA;113;113;ITAÚBA;UHE.PH.RS.027019-9.01;S;SUL;JACUI;JACUÍ;SUL;1978-02-01;184.0;171.0;620.0;620.0;158.2;0.00908;0.7554;m;3.3;-29.25888889;-53.23611111;JIITAU
ITIQUIRA I;FIO DAGUA;304;259;ITIQUIRA I;UHE.PH.MT.027244-2.01;SE;SUDESTE/CENTRO-OESTE;PARAGUAI;ITIQUIRA;SUDESTE;2002-10-24;412.0;411.2;5.0;5.0;0.66;0.008793;0.7685;m;4.28;-17.08361111;-54.87555556;PYUIQ
ITIQUIRA II;FIO DAGUA;305;252;ITIQUIRA II;UHE.PH.MT.027244-2.01;SE;SUDESTE/CENTRO-OESTE;PARAGUAI;ITIQUIRA;SUDESTE;2002-12-22;320.0;320.0;1.0;1.0;1.0;0.008968;1.2239;m;2.62;-17.08166667;-54.9025;PYUIQ2
ITUMBIARA;RESERVATÓRIO COM USINA;31;31;ITUMBIARA;UHE.PH.MG.001194-0.01;SE;SUDESTE/CENTRO-OESTE;PARANAIBA;PARANAÍBA;PARANA;1980-02-01;520.0;495.0;17027.0;4573.0;12454.0;0.008958;0.7027;m;0.75;-18.40944444;-49.09694444;PRITUM
ITUTINGA;FIO DAGUA;2;2;ITUTINGA;UHE.PH.MG.001197-5.01;SE;SUDESTE/CENTRO-OESTE;GRANDE;GRANDE;PARANA;1955-02-01;886.0;880.0;11.0;11.0;7.04;0.008649;0.2437;m;0.63;-21.29277778;-44.62277778;GRITUT
JACUI;FIO DAGUA;112;112;JACUÍ;UHE.PH.RS.001217-3.01;S;SUL;JACUI;JACUÍ;SUL;1962-03-01;279.89;270.37;29.0;29.0;24.39;0.008731;0.7951;m;2.55;-29.07916667;-53.225;JIJACU
JAGUARA;FIO DAGUA;9;9;JAGUARA;UHE.PH.SP.001225-4.01;SE;SUDESTE/CENTRO-OESTE;GRANDE;GRANDE;PARANA;1971-01-01;558.5;555.5;450.0;450.0;90.0;0.008944;0.3944;m;0.5;-20.025;-47.43555556;GRJAGU
